Org. Name,Primary Category,Sec. Category/Tags,Description,Area Served,Website,Phone,Email,Address,Eligibility Requirements,Cost/Fees,Org. Type,Source,Date Verified,Ver. Status,Notes
Maryland Department of Aging,Local Aging Resources,"Brain Health
Caregivers
Continuing Care
Durable M.E.
Health Promotion
Legal Assistance
Legislation
Ombudsman
Medicare Support
Nutrition Svcs
Guardianship
Senior Centers","Recognizing that health outcomes are impacted by the conditions in which we live, MAP engages individuals to define their care and financial needs, and identify available benefits and services they may qualify for to help them remain as independent as possible.","All counties and 
Baltimore City",https://aging.maryland.gov/,410-767-1100,,"36 S Charles Street, 12th Floor
Baltimore, MD 21201",Varies,No Cost,Government,https://aging.maryland.gov/,8/26/2026,Verified,
Maryland Manual On-Line,Local Aging Resources,Comprehensive,A principal executive department that protects the rights and quality of life for older persons across the state.,All,https://msa.maryland.gov,844-627-5465,msa.helpdesk@maryland.gov,"350 Rowe Blvd, 
Annapolis, MD 21401",Varies,No Cost,Government,https://msa.maryland.gov,8/26/2026,Verified,
"Office on Aging, Harford County",Local Aging Resources,"Caregiver Support
Senior Care
LT Ombudsman
Medicare Waiver","he Harford County Office on Aging provides support to senior citizens to live full, productive, and satisfying lives. The office provides information, referral and assistance with caregiver support, senior care, long-term ombudsman, Medicare waiver, and State Health Insurance Assistance Program (SHIP).",Harford County,https://www.harfordcountymd.gov/651/Office-on-Aging,410-638-3025,,"220 S. Main Street, 
Bel Air, MD 21014",Varies,No Cost,Government,https://www.harfordcountymd.gov/651/Office-on-Aging,8/27/2026,Verified,
MD Department of Veterans Affairs,Local Aging Resources,"Adult & DAV
Claim Completion
Assisted Living
Rehab
EOL","A state executive agency that assists veterans, active-duty service members, and their families with securing earned benefits, resources, and advocacy.",Maryland,https://veterans.maryland.gov/,410-260-3838,,"16 Francis Street
Annapolis, MD 21401",Veteran,No Cost,Government,https://veterans.maryland.gov/,8/27/2026,Verified,
"Upper Shore Aging, Inc.",Local Aging Resources,"Senior Centers
In-Home Services","Upper Shore Aging provides programs that enable seniors to live healthy, rewarding, independent lives in their own homes.","Caroline
Kent
Talbot",https://uppershoreaging.org/,410-778-6000,usainc@uppershoreaging.org,"100 Schauber RD
Chestertown, MD 21620","63 or older
Income
Assets
Functional Abilities",No Cost,Government,https://uppershoreaging.org/,8/27/2026,Verified,
Howard County Office of Aging,Local Aging Resources,"Aging-in-Place
Elder Abuse Prevention
Housing
Nutrition","Programs and services that support healthy aging, reduce isolation, and promote dignity, choice, and cultural inclusion.",Howard County,https://www.howardcountymd.gov/aging-independence,410-313-1234,,"
Office on Aging & Independence
9830 Patuxent Woods Drive
Columbia, MD 21046",Varies,No Cost,Government,https://www.howardcountymd.gov/aging-independence,8/27/2026,Verified,
Charles County Aging & Senior Services,Local Aging Resources,"Aging & Senior Programs
Long Term Care Options
Nutrition Services
Health Insurance Assist.
In-Home Services
Senior Centers",The division offers programs and services that support independence and enhance the quality of life for older adults.,Charles County,https://www.charlescountymd.gov/services/aging-and-senior-services,301-934-9305,,"8190 Port Tobacco Road
Port Tobacco, MD 20677",Varies,No Cost,Government,https://www.charlescountymd.gov/services/aging-and-senior-services,8/27/2026,Verified,
Cecil County Aging & Disability Resource,Local Aging Resources,"Public Guardianship
Senior Assisted Living
Long Term Care","The Aging and Disability Services Division provides community-based supports and services through case management, counseling, information and referral, and advocacy. ",Cecil County,https://www.cecilcountymd.gov/300/Aging-Disability-Services,410-996-5200,awoods@cecilcountymd.gov,"200 Chesapeake Blvd
Elkton, MD 21921","55 or older
County Resident",No Cost,Government,https://www.cecilcountymd.gov/300/Aging-Disability-Services,8/27/2026,Verified,
Allegany HRDC,Local Aging Resources,"Senior Centers
Guardianship
Group Senior Assisted Housing
","A non-profit organization located in Cumberland, Maryland, that works to eliminate social and economic barriers for low-income individuals and families.",Allegany County,https://www.alleganyhrdc.org/,301-777-5970,Program.Intake@usda.gov,"125 Virginia Ave
Cumberland, MD 21502","65 or older
County Resident",No Cost,Community,https://www.alleganyhrdc.org/,8/30/2026,Verified,
Moyer Move Management,Senior Move Mgrs,Move Management,Family-owned business and  take pride in  the team of compassionate professionals who help us deliver on our commitment to satisfy your every moving need. ,Baltimore,https://www.moyermovemanagement.com/,"410-515-1199
301-685-7900",company@MoyerMoveManagement.com,"13050 Shawnee Lane
Clarksburg, MD 20871",N/A,Varies,Commercial,https://www.moyermovemanagement.com/,8/30/2026,Verified,
Abilities Network,Senior Move Mgrs,Move Management," Our distinctive one-on-one services effectively support the needs of the whole person, not just a diagnosis, enabling them to reach their full potential. ",Baltimore,https://abilitiesnetwork.org/,410-828-7700,,"8503 Lasalle Rd, 
Towson, MD 21286",N/A,Varies,Commercial,https://abilitiesnetwork.org/,8/30/2026,Verified,
Care Patrol,Senior Care Nav./Referral,"Independent Living
Assisted Living
Memory Care
Nursing Homes
In-Home Care
Respite Care
Senior Living Placement","Provides no-cost senior care advisory and referral services to help families identify care options and local providers based on needs, budget, and location.","Frederick
Central Maryland",https://carepatrol.com/,667-304-6722,, Service-area based,N/A,Varies,Commercial,https://carepatrol.com/,8/30/2026,Verified,
Potomac Concierge,Senior Move Mgrs,"Move Management
Home Organization
Home Maintenance
Estate Cleanouts
Senior Concierge
Personal Assistant","We offer a comprehensive suite of solutions, including moving help, home organization, personal assistant services, home maintenance, business assistant tasks, and office organization. ","Alexandria VA
Annandale VA
Annapolis MD
Arlington VA
Bethesda MD
Cabin John MD
Chevy Chase MD
Fairfax VA
Falls Church VA
Great Falls VA
McLean VA
Oakton VA
Potomac MD
Reston VA
Rockville MD
Sarasota FL
Tysons Corner VA
Vienna VA
Washington DC",https://potomacconcierge.com/,240-673-0028,, Service-area based,N/A,Varies,Commercial,https://potomacconcierge.com/,8/30/2026,Verified,NASMM
Chesapeake Transitions,Senior Move Mgrs,"Move Management
Home Setup
Estate Cleanout",A senior move management and downsizing company based in Central Maryland that helps older adults and their families navigate major life relocations.,Baltimore MD,https://chesapeaketransitions.com/,410-897-0050,, Service-area based,N/A,Varies,Commercial,https://chesapeaketransitions.com/,8/30/2026,Verified,"NASMM
NASMM Diamoind Society"
Custom Moves,Senior Move Mgrs,"Move Management
Aging-at-Home
Decluttering",A specialized senior move management and concierge service operating in Maryland around the Baltimore metropolitan area.,"Anne Arundel
Baltimore
Carrol County
Howard County
Harford County",http://custommoves.com/default.asp?iId=HILHG,443-625-6264,, Service-area based,N/A,Varies,Commercial,http://custommoves.com/default.asp?iId=HILHG,8/30/2026,Do Not Publish,*URL does not support a secure connection.
Caring Transitions,Senior Move Mgrs,"Senior Relocatrion
Senior Moving Assistance
Packing Services
Senior Resettling
Downsizing
Decluttering
Estate Sales
Home Clean-Outs",Caring Transition move management services employ caring professionals to provide comprehensive assistance from planning to packing and beyond.,"Baltimore
Annapolis
Silver Spring
Rockville",https://www.caringtransitionsannapolis.com/,410-451-1465,, Service-area based,N/A,Varies,Commercial,https://www.caringtransitionsannapolis.com/,8/30/2026,Verified,
Town & Country Moving Solutions,Senior Move Mgrs,"Senior Moving
Space Planning
Organizing
Unpacking & Settling
Clear Out & Asset Dist.
Auction & Estate Sales
","A family run professional moving and storage company serving Maryland, D.C. and Virginia since 1977.","MD, VA,DC",https://townandcountrymovers.com/,800-683-6683,Info@TownandCountryMovers.com,"7650 Rickenbacker Dr
Gaitheersburg, MD 20879",N/A,Varies,Commercial,https://townandcountrymovers.com/,8/30/2026,Verified,NASMM A+
Palmetto Move Management,Senior Move Mgrs,"Unpacking Services
Packing Services
Home Cleanouts
Organization Svcs
Retirement Home Moving
Senior Citizen Moving","A Baltimore, MD-based moving assistance company that specializes in helping seniors transition to a new lifestyle with minimal stress and maximum safety.","Towson
Baltimore
Columbia
Ellicott City
Catonsville
Owings Mills",https://palmettomovemanagement.com/,843-640-0345,,"1702 Byrd St
Baltimore, MD 21230",N/A,Varies,Commercial,https://palmettomovemanagement.com/,8/30/2026,Verified,
Artisan Movers,Senior Move Mgrs,"Packing & Unpacking
Senior Moving Services","Dedicated to providing you with a comfortable, hassle-free, and hands-off moving experience.","Rockville
Silver Spring
DC",https://www.artisanmovers.com/,240-600-0998,info@artisanmovers.com,"6219 Executive Blvd
Rockville, MD 20852",N/A,Varies,Commercial,https://www.artisanmovers.com/,8/30/2026,Verified,
Meals on Wheels of Central Maryland,Senior Meals/Transport,Senior Meals,"For aging, homebound and disabled adults throughout Central Maryland, we do more than deliver nutritious meals. We provide support and safety-net services that help sustain health, promote independence, and improve overall quality of life.","Baltimore, MD",https://mealsonwheelsmd.org/,410-558-0923,knight@mowcm.org,"515 S Haven St
Baltimore, MD 21224","- Live w/in the service area
- Be unable to shop for food
- Homebound status
- Unable to prepare meals
- 60 or older/homebound
- Meet income requirements

",Low Cost/No Cost,Government,https://mealsonwheelsmd.org/,8/30/2026,Verified,
Hyattsville Meals Assistance,Senior Meals/Transport,Senior Meals,"Offers meal assistance programs for older adults, individuals with disabilities, and residents facing food insecurity",Prince George's County,https://www.hyattsville.org/937/Meals-Assistance,301-985-5000,info@hyattsville.org,"6505 Belcrest Rd
Hyattsville, MD 20782","- 55 or older
- Disabled
- Reside w/in service area
",Low Cost/No Cost,Government,https://www.hyattsville.org/937/Meals-Assistance,8/30/2026,Verified,
211 Maryland Food Assistance,Senior Meals/Transport,"Food Pantries
Food Banks
Food Donations
Referrals","Connects residents to free and low-cost food programs, including local food pantries, home-delivered meals, soup kitchens, and nutrition assistance like SNAP and WIC",All of Maryland,https://211md.org/resources/food/,301-970-9888,,"9770 Patuxent Woods Dr
Ste 334
Columbia, MD 21046",- See specific program requirements,Low Cost/No Cost,NonProfit,https://211md.org/resources/food/,8/30/2026,Verified,State-authorized referral service
Moveable Feast,Senior Meals/Transport,"Delivered Meals
Medical Transport","A nonprofit organization based in Baltimore, Maryland, that prepares and delivers medically tailored meals and provides nutrition education to people living with severe chronic illnesses and food insecurity","Baltimore, MD",https://www.mfeast.org/,410-327-3420,info@mfeast.org,"901 N. Milton Avenue
Baltimore, MD 21205","- Chronic/serious illness
- Diabetes, Renal, Lung Disease
- Difficulty accessing/affording or preparing food due to financial hardwhip
- Reside in Baltimore City
- Application required",No Cost,NonProfit,https://www.mfeast.org/,8/30/2026,Verified,"Application must reflect:
- Proof of income
- Proof of address in service area"
JSSA,Senior Meals/Transport,"Aging-in-Place
Senior Kosher Neals","A non-profit health and social wellness agency that provides non-sectarian services to people of all backgrounds, religions and ages. ","Montgomery Cty, MD
Northern VA
Prince George's Cty, MD
Washington, DC",https://www.jssa.org,240-800-5772,,"200 Wood Hill RD
Rockville, MD 20850",Serves anyone in need,Varies,NonProfit,https://www.jssa.org,8/30/2026,Verified,
Anne Arundel County Maryland,Senior Meals/Transport,"Delivered Meals
Senior Nutrition","Offers free or reduced-fee meals, group dining sites, and home delivery services for older adults through the Department of Aging and Disabilities.",Anne Arundel,https://www.aacounty.org/,410-222-4257,info_and_assistance@aacounty.org,"119 S Villa Avenue
Annapolis, MD 21401","- 60 or older
- Live in Anne Arundel County

Meals Delivered
- 60 or older
- Must be Homebound
- Unable to shop safely or prepare nutritious meals
- Lack regular assistance from others
 
",No Cost,Government,https://www.aacounty.org/,8/30/2026,Verified,
Charles County Maryland,Senior Meals/Transport,"Delivered Meals
Senior Nutrition",Congregate meals at senior centers and home-delivered meals for eligible residents.,Charles County,https://www.charlescountymd.gov/home,301-645-0550,MDAccessPoint@CharlesCountyMD.Gov,"200 Baltimore Street
Ls Plata, MD 20646","- 60 or older
- Charles County resident
",No Cost,NonProfit,https://www.charlescountymd.gov/home,8/30/2026,Verified,
Queen Anne's County Maryland,Senior Meals/Transport,Delivered Meals,Offers congregate and home-delivered senior nutrition programs,Queen Anne's County,https://www.qac.org/215/Nutrition-Programs,410-758-0848,svoorhees@qac.org,"104 Powell Street
Centreville, MD 21617",- 55 or older (spouses incl.),"- 60+ = $3
- 55-59 = $6.79",Government,https://www.qac.org/215/Nutrition-Programs,8/30/2026,Verified,
Talbot County Senior Center,Senior Meals/Transport,"Delivered Meals
Senior Nutrition",Offers nutritious meal options for older adults featuring honme delivery and group dining.,Talbot County,https://www.brooklettsplace.org/meals-on-wheels,410-822-2869,brookletts@uppershoreaging.org​,"400 Brookletts Avenue
Easton, MD 21601","- 60 or older
- Homebound/iunable to shop",Low Cost/No Cost,NonProfit,https://www.brooklettsplace.org/meals-on-wheels,8/30/2026,Verified,
St. Mary's County,Senior Transport,"Rides to Appts
Errands
Paratransit
Social Events",Brings well-balanced meals and friendly visits directly to seniors who are homebound and unable to shop or cook for themselves.,St. Mary's Cty,https://www.stmaryscountymd.gov/aging/seniorrides/,301-475-4200,"lori.harris@stmaryscountymd.gov,","41770 Baldridge Street
Leonardtown, MD 20650","- 60 or older
- Homebound
- Unable to shop.cook or prepare meals for themselves without assistance","- 60+ = Donation
- 50-59 =.$7",Government,https://www.stmaryscountymd.gov/aging/seniorrides/,8/30/2026,Verified,
Right at Home,Senior Transport,"Rides to Appts
Hospital to Home
Respite Care
Grocery Shopping
Aging-in-Place",Provides safe and reliable senior transportation services across multiple locations in Maryland to help older adults maintain their independence,Baltimore Cty & Surrounding Areas,https://www.rightathome.net/,(443) 835-4413,, Service-area based, No Medical Referral Needed,- $22-$30/hr,Commercial,https://www.rightathome.net/,8/31/2026,Verified,
Senior Transport Svc PG County,Senior Transport,"General Transport
Meedical Program
Nutrition Program",A special service of Call-a-Bus providing regularly scheduled curb-to-curb transportation throughout Prince George's County to County seniors (aged 60 and older) and persons with disabilities. STS provides transportation for a number of programs for senior citizens. ,Prince George's Cty,https://www.princegeorgescountymd.gov/departments-offices/public-works-transportation/metrotransportation/senior-transportation-services,301-699-2696,,"9400 Peppercorn Place
Ste 320
Largo, MD 20774","- 60+
- Qualififying physical, cognitive or visual disability
- Reside w/in service county",Low Cost/No Cost,Community,https://www.princegeorgescountymd.gov/departments-offices/public-works-transportation/metrotransportation/senior-transportation-services,8/31/2026,Verified,
2nd Family,Senior Transport,"Rides to Appts
Social Events
Shopping
Personal Care
Dementia Care","Provides professional senior transportation services in Maryland as part of its comprehensive in-home care offerings, functioning as ""care on the move"" rather than just a standard ride service.","Anne Arundel,
Baltimore City, 
Baltimore, 
Carroll, 
Frederick, 
Howard, 
Montgomery,
Prince George’s counties",https://2ndfamily.com/,443-609-3640,theoffice@2ndfamily.com,"1532 Liberty Rd, #105
Eldersburg, MD 21784",N/A,- $31-$35/hr,Commercial,https://2ndfamily.com/,8/31/2026,Verified,
Commute Accessible,Senior Transport,"Rides to Appts
Paratransit
Senior Activity Ctrs
Personal Errands
Shopping","Offers accessible commuting options through statewide and local transit systems equipped with lifts, ramps, and dedicated paratransit services.",Harford County,https://www.harfordcountymd.gov/2277/Commute-Accessible,410-638-3000,,"220 S. Main Street
Bel Air, MD 21014"," Physical, cognitive, or visual impairment
","- $2-$3/pr ride
- No Cost Avail.",Commercial,https://www.harfordcountymd.gov/2277/Commute-Accessible,8/31/2026,Verified,
Ocean City ADA Para,Senior Transport,Origin-to-Desination,"A specialized, curb-to-curb public transportation service operated by Ocean City Transportation. It is designed for individuals who are unable to utilize the standard fixed-route regular bus service due to a physical or mental disability",Ocean City,https://oceancitymd.gov/oc/departments/public-works/ocean-city-ada-para-transit/, 410-723-1606,rshearman@oceancitymd.gov., Service-area based,"- Disabled residents/visitors of Ocen City
","- $4/All Day Pass
- Free for O.C. Residents holding an official Senior Bus Pass",Community,https://oceancitymd.gov/oc/departments/public-works/ocean-city-ada-para-transit/,8/31/2026,Verified,
Partners in Care,Senior Transport,"Rides to Appts
Shopping
Events
Personal Errands",A non-profit organization that helps older adults age 60 and older live independently and age in place with dignity.,"Anne Arundel
Fredrick Cty",https://partnersincare.org/programs/ride-partners/?gad_source=1&gad_campaignid=23060241594&gbraid=0AAAAA_Pn5Sc4wwkPQIy0huL_XtKaXn4El&gclid=Cj0KCQjw4orUBhCjARIsAIbF3qz-j4DT5rXPaJKQ5bWUPQai28kmMOedctbpjR7r7QQWMQn0PPZ8guMaAn1jEALw_wcB,410-544-4800,,"8694 Commerce Drive, #1
Easton, MD 21601","- 60+
- Reside in Anne Arundel or Frederick County",- $20-$25/month donations,NonProfit,https://partnersincare.org/programs/ride-partners/?gad_source=1&gad_campaignid=23060241594&gbraid=0AAAAA_Pn5Sc4wwkPQIy0huL_XtKaXn4El&gclid=Cj0KCQjw4orUBhCjARIsAIbF3qz-j4DT5rXPaJKQ5bWUPQai28kmMOedctbpjR7r7QQWMQn0PPZ8guMaAn1jEALw_wcB,8/31/2026,Verified,
Transport-U,Senior Transport,"Ambulatory
Wheelchair Svc
Stretcher/Gurney
Bariatric Service
Geri Chair
Reclining Chair Svc
Oxygen-Assisted
Stair Assistance
Events
Personal Trips","A non-emergency medical transportation provider operating in Maryland, Washington, D.C., and Northern Virginia.","Montgomery
Washington DC
Northern VA",https://www.transportu.com/,240-475-7568,info@transportu.com,"7811 Montrose Rd, Ste 540
Potomac, MD 20854",- Registration at UHC,No Cost,NonProfit,https://www.transportu.com/,8/31/2026,Verified,
Senior Connection ,Senior Transport,"Medical Appts
Events
Shopping
Senior Transport
Med Pickup
Church/Religious","A nonprofit organization that provides free, volunteer-powered services to help older adults in Montgomery County, Maryland, maintain their independence and mobility.",Montgomery County,https://www.seniorconnectionmc.org/,301-962-0820,info@seniorconnectionmc.org,"751 Twinbrook Pkwy
Rockville, MD 20851","- Montgomery County resident
- 60+
- Able to travel w/o wheelchair",No Cost,NonProfit,https://www.seniorconnectionmc.org/,8/31/2026,Verified,
Safe Med Trans LLC,Senior Transport,"Ambulatory
Cancer & Chemo
Dialysis Transport
Door-to-Door Assist
Hospital Discharge
Last Resort Svc
Mental Health
Senior Transport
Veteran Transport
Wheelchair Svc","A clinician-led non-emergency medical transportation (NEMT) provider headquartered in Hunt Valley, Maryland, that delivers safe, door-to-door patient rides across seven Maryland counties.","Anne Arundel
Baltimore
Carroll
Harford
Howard
PG County",https://safemedtrans.com/,445-845-3205,info@safemedtrans.com,"9 Schilling RD
Ste LL4
Hunt Valley, MD 21031","- Medicaid-enrolled
- No Other Transport
",No Cost,NonProfit,https://safemedtrans.com/,8/31/2026,Verified,
